rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
256,grūst,K1.st.žu.du,13019,1.0,0,0,0,0,1,0,0,0,0,0,0
257,vardarbīgs,Īp.s,12984,1.0,0,0,0,0,1,0,0,0,0,0,0
258,represija,D4.a,12927,0.7,0,0,1,0,0,0,0,0,0,0,0
259,spridzināt,K3.ināt,12828,0.8,0,0,0,1,1,0,0,1,0,0,0
260,karadarbība,D4.a,12744,0.4,0,0,0,0,0,0,0,1,0,0,0
261,uzpirkts,Īp.s,12502,0.7,0,0,1,0,0,0,0,0,1,0,0
262,sūdains,Īp.s,12466,0.4,0,0,0,0,0,0,1,0,0,0,0
263,aplaupīt,K3.īt,12435,1.0,0,0,0,0,1,0,0,0,0,0,0
264,nošauts,Īp.s,12431,1.0,0,0,0,0,1,0,0,0,0,0,0
265,šāviens,D1.s,12254,1.0,0,0,0,0,1,0,0,0,0,0,0
266,krāpšana,D4.a,12251,0.7,0,0,1,0,0,0,0,0,0,0,0
268,samazga,D4.a,12198,0.4,0,1,0,0,0,0,0,0,0,0,0
269,apdraudēts,Īp.s,12148,1.0,0,0,0,0,1,0,0,0,0,0,0
270,iznīcinātājs,D1.s,12136,1.0,0,0,0,0,1,0,0,0,0,0,0
271,apriet,K1.iet.eju.ēju,12023,1.0,0,0,0,0,1,0,0,0,0,0,0
272,pāķis,D2.is,11941,0.7,1,0,0,0,0,0,0,0,0,0,0
273,privatizācija,D4.a,11940,0.7,0,0,1,0,0,0,0,0,0,0,0
274,военный,Rus,11926,0.4,0,0,0,0,0,0,0,1,0,0,0
275,cietumnieks,D1.s,11908,0.4,0,0,0,0,0,0,1,0,0,0,0
276,kaitināt,K3.ināt,11894,1.0,0,0,0,0,1,0,0,0,0,0,0
277,nelietīgs,Īp.s,11670,0.7,0,0,0,0,0,0,0,0,1,0,0
278,amorāls,Īp.s,11596,0.7,0,0,0,0,0,0,0,0,1,0,0
279,nīsts,Īp.s,11590,1.0,0,0,0,0,0,0,0,0,0,1,0
280,lielgabals,D1.s,11567,0.4,0,0,0,0,0,0,0,1,0,0,0
281,necieņa,D4.a,11534,0.7,0,0,0,0,0,0,0,0,1,0,0
282,spļaut,K1.aut.auju.āvu,11526,1.0,0,0,0,0,1,0,0,0,0,0,0
283,mēslaine,D5.e,11400,0.4,0,0,0,0,0,0,1,0,0,0,0
284,izsist,K1.st.tu.tu,11394,1.0,0,0,0,0,1,0,0,0,0,0,0
285,pakārties,K1.ārties.aros.āros,11390,1.0,0,0,0,0,1,0,0,0,0,0,0
286,čūska,D4.a,11387,0.4,0,1,0,0,0,0,0,0,0,0,0
287,shēmotājs,D1.s,11322,0.4,0,1,0,0,0,0,0,0,0,0,0
288,nikns,Īp.s,11223,1.0,0,0,0,0,0,0,0,0,0,1,0
289,lobēt,K2.t,11190,0.7,0,0,1,0,0,0,0,0,0,0,0
290,pensis,D2.sis,11182,0.55,1,1,0,0,0,0,0,0,0,0,0
291,degradēties,K2.ties,11129,0.4,0,0,0,0,0,0,1,0,0,0,0
292,šakālis,D2.lis,11097,0.4,0,1,0,0,0,0,0,0,0,0,0
293,politikānis,D2.nis,10983,0.7,0,0,1,0,0,0,0,0,0,0,0
294,atmaksa,D4.a,10934,0.7,0,0,1,0,0,0,0,0,0,0,0
295,noslepkavot,K2.t,10918,1.0,0,0,0,0,1,0,0,0,0,0,0
296,biete,D5.e,10905,0.4,0,0,0,0,0,0,1,0,0,0,0
297,netaisnība,D4.a,10903,0.7,0,0,1,0,0,0,0,0,0,0,0
298,nīdējs,D1.s,10879,0.4,0,0,0,0,0,0,1,0,0,0,0
299,sazagts,Īp.s,10865,0.7,0,0,1,0,0,0,0,0,0,0,0
300,šovinists,D1.s,10826,0.55,1,0,0,0,0,0,1,0,0,0,0
301,dauzīt,K3.īt,10715,1.0,0,0,0,0,1,0,0,0,0,0,0
302,bataljons,D1.s,10674,0.4,0,0,0,0,0,0,0,1,0,0,0
303,atņemšana,D4.a,10655,0.7,0,0,1,0,0,0,0,0,0,0,0
304,skauģis,D2.is,10624,1.0,0,0,0,0,0,0,0,0,0,1,0
305,ķēms,D1.s,10584,0.4,0,1,0,0,0,0,0,0,0,0,0
306,kuce,D5.e,10567,0.55,1,1,0,0,0,0,0,0,0,0,0
307,riebums,D1.s,10553,0.4,0,0,0,0,0,0,1,0,0,0,0
308,debīliķis,D2.is,10546,0.4,0,1,0,0,0,0,0,0,0,0,0
309,demonstrācija,D4.a,10473,0.4,0,0,0,0,0,0,1,0,0,0,0
310,uzpirkt,K1.irkt.ērku.irku,10467,0.7,0,0,1,0,0,0,0,0,1,0,0
311,likvidēšana,D4.a,10408,1.0,0,0,0,0,1,0,0,0,0,0,0
312,dirst,K1.st.šu.su,10400,0.4,0,0,0,0,0,0,1,0,0,0,0
313,deportēt,K2.t,10398,1.0,0,0,0,0,1,0,0,0,0,0,0
314,degradācija,D4.a,10365,0.4,0,0,0,0,0,0,1,0,0,0,0
315,čangalis,D2.lis,10362,0.55,1,1,0,0,0,0,0,0,0,0,0
316,likvidācija,D4.a,10269,1.0,0,0,0,0,1,0,0,0,0,0,0
317,fricis,D2.cis,10231,0.7,1,0,0,0,0,0,0,0,0,0,0
318,kaitēt,K2.t,10186,0.85,0,0,1,0,1,0,0,0,0,0,0
319,apdraudēt,K3.ēt,10169,1.0,0,0,0,0,1,0,0,0,0,0,0
320,salauzt,K1.zt.žu.zu,10166,1.0,0,0,0,0,1,0,0,0,0,0,0
321,streiks,D1.s,10141,0.4,0,0,0,0,0,0,1,0,0,0,0
